Année;Joueurs;Poste
2015;Hugo Lloris;G
2015;Steve Mandanda;G
2015;Stéphane Ruffier;G
2015;Patrice Evra;D
2015;Benoît Trémoulinas;D
2015;Lucas Digne;D
2015;Bacary Sagna;D
2015;Christophe Jallet;D
2015;Mathieu Debuchy;D
2015;Raphaël Varane;D
2015;Mamadou Sakho;D
2015;Laurent Koscielny;D
2015;Eliaquim Mangala;D
2015;Kurt Happy Zouma;D
2015;Morgan Schneiderlin;M
2015;Yohan Cabaye;M
2015;Josuha Guilavogui;M
2015;Lassana Diarra;M
2015;Maxime Gonalons;M
2015;Mathieu Valbuena;M
2015;Geoffrey Kondogbia;M
2015;Blaise Matuidi;M
2015;Dimitri Payet;M
2015;Moussa Sissoko;M
2015;Paul Pogba;M
2015;Hatem Ben Arfa;M
2015;Karim Benzema;A
2015;Olivier Giroud;A
2015;Antoine Griezmann;A
2015;Nabil Fekir;A
2015;Alexandre Lacazette;A
2015;Paul-Georges Ntep de Madiba;A
2015;Anthony Martial;A
2015;André-Pierre Gignac;A
2015;Kingsley Coman;A
2016;Hugo Lloris;G
2016;Steve Mandanda;G
2016;Benoît Costil;G
2016;Christophe Jallet;D
2016;Patrice Evra;D
2016;Adil Rami;D
2016;Laurent Koscielny;D
2016;Bacary Sagna;D
2016;Lucas Digne;D
2016;Eliaquim Mangala;D
2016;Samuel Yves Umtiti;D
2016;Morgan Schneiderlin;M
2016;Yohan Cabaye;M
2016;N'Golo Kanté;M
2016;Moussa Sissoko;M
2016;Blaise Matuidi;M
2016;Paul Pogba;M
2016;Dimitri Payet;A
2016;Antoine Griezmann;A
2016;Olivier Giroud;A
2016;Anthony Martial;A
2016;Kingsley Coman;A
2016;André-Pierre Gignac;A
2017;Hugo Lloris;G
2017;Steve Mandanda;G
2017;Benoît Costil;G
2017;Alphonse Areola;G
2017;Bacary Sagna;D
2017;Laurent Koscielny;D
2017;Raphaël Varane;D
2017;Adil Rami;D
2017;Lucas Digne;D
2017;Christophe Jallet;D
2017;Djibril Sidibe;D
2017;Samuel Yves Umtiti;D
2017;Layvin Kurzawa;D
2017;Benjamin Mendy;D
2017;Benjamin Pavard;D
2017;Kurt Happy Zouma;D
2017;Sébastien Corchia;D
2017;Aymeric Laporte;D
2017;Presnel Kimpembe;D
2017;Jordan Amavi;D
2017;Blaise Matuidi;M
2017;Moussa Sissoko;M
2017;Paul Pogba;M
2017;N'Golo Kanté;M
2017;Thomas Lemar;M
2017;Adrien Rabiot;M
2017;Corentin Tolisso;M
2017;Steven N'Kemboanza Mike Christopher Nzonzi;M
2017;Tiémoué Bakayoko;M
2017;Olivier Giroud;A
2017;Antoine Griezmann;A
2017;Dimitri Payet;A
2017;Alexandre Lacazette;A
2017;Anthony Martial;A
2017;Kingsley Coman;A
2017;Kevin Gameiro;A
2017;Nabil Fekir;A
2017;Kylian Mbappé Lottin;A
2017;Ousmane Dembélé;A
2017;Florian Thauvin;A
2018;Hugo Lloris;G
2018;Steve Mandanda;G
2018;Alphonse Areola;G
2018;Benjamin Pavard;D
2018;Presnel Kimpembe;D
2018;Raphaël Varane;D
2018;Samuel Yves Umtiti;D
2018;Adil Rami;D
2018;Djibril Sidibe;D
2018;Lucas Hernández Pi;D
2018;Benjamin Mendy;D
2018;Paul Pogba;M
2018;Corentin Tolisso;M
2018;N'Golo Kanté;M
2018;Blaise Matuidi;M
2018;Steven N'Kemboanza Mike Christopher Nzonzi;M
2018;Antoine Griezmann;A
2018;Thomas Lemar;A
2018;Olivier Giroud;A
2018;Kylian Mbappé Lottin;A
2018;Ousmane Dembélé;A
2018;Nabil Fekir;A
2018;Florian Thauvin;A
2019;Hugo Lloris;G
2019;Steve Mandanda;G
2019;Alphonse Areola;G
2019;Mike Maignan;G
2019;Benjamin Pavard;D
2019;Léo Dubois;D
2019;Raphaël Varane;D
2019;Presnel Kimpembe;D
2019;Clément Nicolas Laurent Lenglet;D
2019;Kurt Happy Zouma;D
2019;Lucas Digne;D
2019;Lucas Hernández Pi;D
2019;Ferland Mendy;D
2019;Paul Pogba;M
2019;Moussa Sissoko;M
2019;N'Golo Kanté;M
2019;Adrien Rabiot;M
2019;Tanguy Ndombèlé Alvaro;M
2019;Kingsley Coman;A
2019;Anthony Martial;A
2019;Ousmane Dembélé;A
2019;Thomas Lemar;A
2019;Olivier Giroud;A
2019;Antoine Griezmann;A
2019;Kylian Mbappé Lottin;A
2019;Wissam Ben Yedder;A
2020;Hugo Lloris;G
2020;Steve Mandanda;G
2020;Alphonse Areola;G
2020;Mike Maignan;G
2020;Benjamin Pavard;D
2020;Léo Dubois;D
2020;Presnel Kimpembe;D
2020;Raphaël Varane;D
2020;Clément Nicolas Laurent Lenglet;D
2020;Kurt Happy Zouma;D
2020;Lucas Digne;D
2020;Lucas Hernández Pi;D
2020;Ferland Mendy;D
2020;Paul Pogba;M
2020;Moussa Sissoko;M
2020;N'Golo Kanté;M
2020;Adrien Rabiot;M
2020;Tanguy Ndombèlé Alvaro;M
2020;Kingsley Coman;A
2020;Anthony Martial;A
2020;Ousmane Dembélé;A
2020;Thomas Lemar;A
2020;Olivier Giroud;A
2020;Antoine Griezmann;A
2020;Kylian Mbappé Lottin;A
2020;Wissam Ben Yedder;A
2021;Hugo Lloris;G
2021;Steve Mandanda;G
2021;Alphonse Areola;G
2021;Mike Maignan;G
2021;Benjamin Pavard;D
2021;Léo Dubois;D
2021;Presnel Kimpembe;D
2021;Raphaël Varane;D
2021;Clément Nicolas Laurent Lenglet;D
2021;Kurt Happy Zouma;D
2021;Lucas Digne;D
2021;Lucas Hernández Pi;D
2021;Ferland Mendy;D
2021;Paul Pogba;M
2021;Moussa Sissoko;M
2021;N'Golo Kanté;M
2021;Adrien Rabiot;M
2021;Tanguy Ndombèlé Alvaro;M
2021;Kingsley Coman;A
2021;Anthony Martial;A
2021;Ousmane Dembélé;A
2021;Thomas Lemar;A
2021;Olivier Giroud;A
2021;Antoine Griezmann;A
2021;Kylian Mbappé Lottin;A
2021;Wissam Ben Yedder;A
